pc4,track_count,shape_area,res_bldg_area,street_length,motorway_length,res_bldg_fac,no2_avg,nox_avg,pm25_avg,pm10_avg,dn_1,dn_2,dn_3,dn_4,dn_5,dn_6,landuse_idx
1609.000000000000000,,939342.166846112930000,7441.51386101247,1068.64720664335,3524.03118652672,0.00792204813502381,8.20483668621318,10.4285976980341,9.52000001392186,14.57900002132,0.934259430617024,0.03535253862755,0.0194305774500276,0.0109574547677777,0,0,0.0950571536526749
5915.000000000000000,,6322921.833205496000000,195502.720084475,94617.6392245758,12835.4322015533,0.0309196800532583,10.455712903204,14.3840610999284,6.83124737592353,10.2851964641994,0.0942691117755373,0.244505380064961,0.314228309117777,0.173958447922785,0.0892924351146539,0.0837463176139546,0.863984512761057
9563.000000000000000,,12142153.144778464000000,60140.7177225407,41755.1469508415,7136.31053032737,0.00495305214861363,10.4445300160694,11.8028960452106,11.5088554084426,16.9894207633547,0.608188742443436,0.148638376352384,0.106398155814109,0.1034390553073,0.0254053486154472,0.00793032287431695,0.475433768407641
7105.000000000000000,,11075008.492674893000000,33134.8570415003,44793.829585414,4506.46944512634,0.00299185838669252,7.89926722310072,11.0964750142356,7.34367282239457,10.7074216531534,0.906723048623235,0.053797824071054,0.025372210127729,0.0104181361399649,0.00277355088837377,0.000915231678024488,0.0848139931862765
7108.000000000000000,,22804531.569995519000000,71363.5964022706,87017.2769065779,13803.2906337634,0.00312936032837287,11.9875458747108,18.4573355337979,11.6923168757341,17.086215507558,0.898488560755288,0.0654361187370403,0.0256768443274637,0.0076411790901873,0.00199065900448807,0.000766639623775685,0.0942404981986412
7109.000000000000000,,10917906.512014609000000,45260.9741173962,34490.282059021,8188.49155469739,0.0041455726029151,13.3742705243212,19.7863297258849,12.3507986163824,18.0336393510442,0.603352568530056,0.202561912473357,0.102571949455486,0.0483913828228741,0.024050853967164,0.0190713342882131,0.188430025256734
4287.000000000000000,,1458188.820004412200000,11932.2805025113,6067.64828809484,2171.94295412801,0.00818294608957101,14.9840248917299,22.1652835395707,12.6010000197725,19.0306126505594,0.478658992592331,0.236936731203591,0.139427413027774,0.0683231474391581,0.0394322464025627,0.0372214709037035,0.31259828900911
2954.000000000000000,,2335029.638068967500000,75517.0505547647,33708.6938205512,0,0.0323409387716449,22.0824842831358,34.296734004685,12.4389438141252,19.2054432604204,0.502726272345199,0.400998349595658,0.087079183822684,0.00848246008681389,0.000492356053427487,0.000221379653173974,0.637422485465126
6731.000000000000000,,59312442.176075451000000,124691.668837519,419285.22764382,24543.4872076481,0.00210228519114688,10.0543481027404,22.4739681857317,11.7173471684389,17.5171433292626,0.782137184846283,0.108847401808941,0.0560256420929415,0.0289970693750893,0.0148008157704418,0.00919188763607411,0.116667178376381
2144.000000000000000,,2342599.158064170700000,36814.0709542119,7966.61062480952,7416.14641931006,0.015715053438606,16.5749496922267,23.0341801292891,11.5135031928689,17.8749820239253,0,0.464573440603951,0.312854581689208,0.113002834963499,0.066023706979809,0.0435454372704974,0.4730091631782
3481.000000000000000,,24498563.388108600000000,266538.906821576,96667.9192827621,49698.5374246459,0.0108797770138208,16.617227953186,24.7697715971394,11.9866198345111,17.99483780646,0.133341774994631,0.208268478071883,0.239405424403948,0.175401446338495,0.110782798905571,0.132800078815881,0.475646019584173
5985.000000000000000,,16172533.007833604000000,83000.9628462533,61511.9711980524,18172.0482404432,0.00513221786630762,14.0403429695288,22.1973782933332,12.0552003870629,18.1514771977468,0.513185827861037,0.209599739726102,0.133274316373094,0.0750841728439151,0.0375751950335382,0.0312807497731998,0.235939236552986
8045.000000000000000,,1761272.043400851800000,932.951954871416,4979.93824486474,2254.38511019588,0.000529703493771452,13.4113402084484,16.7155928908735,11.6339802145559,17.2882686031319,0.348899074968211,0.258056245607504,0.136917926592961,0.0860213123838747,0.0880649106748764,0.0820405312403223,0.126433297615489
8326.000000000000000,,20884716.593744352000000,109004.956283388,17872.5101699109,11950.1506702135,0.00521936487833589,12.175314476487,15.6041219227534,11.4972116153739,16.9953497674627,0.773283351863457,0.127549293338274,0.0572198937240723,0.0231412092698205,0.0117717339113841,0.00703451934510639,0.216797856865932
6442.000000000000000,,3495041.811669017700000,92886.8042077853,53813.9784267521,10931.9082384763,0.0265767361917276,11.5679776606665,15.871376368195,7.40537483417188,11.3413239688282,0,0.199478926560116,0.352505322961422,0.229681130285978,0.110175309509869,0.108159312336478,0.860106767793353
2203.000000000000000,,1811939.712165321200000,91941.2860327378,35870.97570859,10076.8714375176,0.0507419123359602,16.5872443591686,22.6338316606199,11.4238161153107,18.2224963925417,0.000883031587230876,0.2358467375832,0.374163620389668,0.173913184848245,0.113231484905646,0.101961942198243,0.94623566496622
5114.000000000000000,,6756030.316384432800000,14235.0173059402,28422.5428152789,3327.91784620455,0.00210700909251666,9.18810724322817,13.3949836652379,8.60014833439082,13.2744291019023,0.965348034694177,0.0201570818243349,0.0110859406917661,0.0034089443984619,0,0,0.0741861585739743
7863.000000000000000,,14058168.621327184000000,42788.5323532998,80376.6114108333,10852.7754396576,0.0030436775589949,9.89907262814933,12.7303473893002,11.6327874031866,17.0633063752109,0.786901753110423,0.0527515213101905,0.0557514635438615,0.0549454799860008,0.0352116664981097,0.0144381169870105,0.220431562081288
7637.000000000000000,,7024219.539724770900000,19621.5337756249,16427.4863880312,5560.79529363068,0.0027934112344663,11.1249693577162,14.4755425694478,11.4980387505768,16.8131498201698,0.50890022223797,0.273316689665229,0.137722020613676,0.0447313135853472,0.020737771915175,0.0145919834571354,0.113842256157871
